sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium hydroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"44";"Polyesters, Glass Fiber-Reinforced";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"2";"questionable";"10 – 60";"80 – 120";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"45";"Polyesters, Glass Fiber-Reinforced";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"3";"not recommended";">10";"120 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"46";"Polyesters, Glass Fiber-Reinforced";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"2";"questionable";"60";"50 – 120";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"47";"Polyesters, Glass Fiber-Reinforced";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"3";"not recommended";">70";"50 – 120";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"48";"Polyethylene (PE)";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended; may stress crack";"30";"60 – 70";"[";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"49";"Polyethylene (PE)";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"50";"Polymethyl Methacrylate (PMMA)";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"2";"questionable";"30";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
