sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Citric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Nickel (200)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 60";"25 – 225";"<20";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Nickel Cast Iron (15-35Ni)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 60";"25 – 75";">50";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Nickel-Copper (400)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 60";"25 – 225";"<20";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Ni-Cr-Fe Alloy (600/ 690)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 25";"25 – 225";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Ni-Cr-Fe Alloy (600/ 690)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 45";"25 – 75";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Ni-Cr-Fe Alloy (600/ 690)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"25 – 35";"75 – 225";"<20";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Ni-Cr-Fe Alloy (600/ 690)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"45 – 60";"25 – 75";"<20";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Ni-Mo Alloy (Ni-30Mo; B-2)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 60";"25 – 225";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Niobium (Columbium)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"<60";"212";"<2";"39,135,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
