sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Calcium hydroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silicon Cast Iron (14Si)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 75";"<2";"26,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Silver";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 75";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Steels, Carbon/ Low Alloy";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Superferritic Stainless Steel (26-1)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Tantalum";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Titanium, Unalloyed";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Zirconium";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
