sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Glass, Chemical";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"43";"Glass, Chemical";"calcium chloride";"hydrophilite";"";"10043-52-4";"CaCl2";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Glass, Chemical";"calcium chloride";"hydrophilite";"";"10043-52-4";"CaCl2";"salts";"1";"recommended";"100";"60 – 212";"";"vapor, hardness unchanged";"1";"";"";"";"";"";"";"";"";"";"";""
"45";"Glass, Chemical";"calcium hydroxide";"";"";"1305-62-0";"CaH2O2";"hydroxides";"2";"questionable";"100";"70 – 90";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"46";"Glass, Chemical";"calcium hypochlorite";"";"";"";"";"salts";"1";"recommended";"10 – 90";"70 – 212";"";"piping";"1";"";"";"";"";"";"";"";"";"";"";""
"47";"Glass, Chemical";"calcium sulfate";"";"";"7778-18-9";"CaO4S";"salts";"1";"recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"48";"Glass, Chemical";"calcium sulfide";"";"";"20548-54-3";"CaS";"salts";"1";"recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"49";"Glass, Chemical";"calcium sulfite";"";"";"";"";"salts";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"50";"Glass, Chemical";"calcium tungstate";"";"";"";"";"";"1";"recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
