sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phenolic Resins";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"42";"Phenolic Resins, Asbestos-Reinforced";"";"benzenesulfonic acid";"";"";"";"";"surfactants & detergents";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"43";"Phenolic Resins, Asbestos-Reinforced";"";"benzenesulfonyl chloride";"";"";"";"";"";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"44";"Phenolic Resins, Asbestos-Reinforced";"";"benzotrichloride";"(trichloromethyl)benzene";"";"1998-07-07";"C7H5Cl3";"aromatics";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"45";"Phenolic Resins, Asbestos-Reinforced";"";"benzotrichloride";"(trichloromethyl)benzene";"";"1998-07-07";"C7H5Cl3";"aromatics";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"46";"Phenolic Resins, Asbestos-Reinforced";"";"benzoyl chloride";"benzenecarbonyl chloride";"anhydrous";"98-88-4";"C7H5ClO";"acid halides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"47";"Phenolic Resins, Asbestos-Reinforced";"";"benzyl alcohol";"phenylmethanol";"";"100-51-6";"C7H8O";"alcohols";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"48";"Phenolic Resins, Asbestos-Reinforced";"";"benzyl alcohol";"phenylmethanol";"";"100-51-6";"C7H8O";"alcohols";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"49";"Phenolic Resins, Asbestos-Reinforced";"";"benzyl alcohol";"phenylmethanol";"";"100-51-6";"C7H8O";"alcohols";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"50";"Phenolic Resins, Asbestos-Reinforced";"";"benzyl chloride";"(chloromethyl)benzene";"";"100-44-7";"C7H7Cl";"halogenated aromatics";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
