sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel (200)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel Cast Iron (15-35Ni)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel-Copper (400)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Ni-Cr-Fe Alloy (600/ 690)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Silicon Cast Iron (14Si)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"53 – 237";"<2";"";"45,210,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Silver";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Steels, Carbon/ Low Alloy";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Superferritic Stainless Steel (26-1)";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Tantalum";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Titanium, Unalloyed";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"25 – 475";"<2";"";"45,173,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Titanium, Unalloyed";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"";"100";"54";"<2";"boiling point";"45,173,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
