sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Toluene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"43";"Polypropylene (PP)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended";"100";"125 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"44";"Polyvinyl Chloride (PVC)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended; weight gain ";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"45";"Polyvinyl Chloride (PVC)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended";"100";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"46";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"75";"";"";"6";"";"";"";"";"";"";"";"";"";""
"47";"Polyvinylidene Fluoride (PVDF)";"Kynar";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"70 – 175";"<12";"";"1, 17";"";"";"";"";"";"";"";"";"";""
"48";"Polyvinylidene Fluoride (PVDF)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"2";"questionable";"100";"175 – 225";"";"";"1, 17";"";"";"";"";"";"";"";"";"";""
"49";"Polyvinylidene Fluoride (PVDF)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended";"100";"225 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";""
"50";"Rubber, Butyl (BR)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended";"100";"60 – 70";"[>12]";"";"1";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
