sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Cr Stainless Steel (17Cr)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"25 – 35";"375 – 425";">50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Cr Stainless Steel (17Cr)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"55 – 65";"175 – 225";">50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Cr Stainless Steel (17Cr)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";">55";"25 – 175";"20 – 50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Cr Stainless Steel (17Cr)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"75 – 85";"175 – 225";">50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Cr Stainless Steel (17Cr)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"100";"175 – 225";">50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Duplex Stainless Steel (25-6-3)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"any";"0 – 230";"<2";"";"2,140,156,208,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Gold/ Platinum";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";">5";"25 – 225";"<2";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Lead";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"5 – 85";"25 – 75";">50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
