sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorosulfonic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"15 – 55";"25 – 75";"<2";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"100";"25 – 225";"<2";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"5 – 15";"25 – 75";"<20";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"15 – 55";"25 – 75";"<2";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"100";"25 – 225";"<2";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"5 – 15";"25 – 75";"<20";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"15 – 55";"25 – 75";"<2";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"100";"25 – 225";"<2";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"5 – 15";"25 – 75";"<20";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"15 – 55";"25 – 75";"<2";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
